attributeName	code	definition
Reservoir	FCR	Falling Creek Reservoir
Reservoir	BVR	Beaverdam Reservoir
Site	200	"Secondary inflow (wetland) stream to Falling Creek Reservoir (37.30943,-79.83619) or right arm inflow to Beaverdam Reservoir (37.322851,-79.81721)"
Site	99	"Farthest downstream site on inflow stream to Falling Creek Reservoir (37.307613,-79.8360878)"
Site	100	"Inflow stream to Falling Creek Reservoir (37.30858,-79.83494) or Beaverdam Reservoir (37.31957,-79.82437)"
Site	101	"Upstream site along inflow to Falling Creek Reservoir (37.309653,-79.830467)"
Site	102	"Furthest upstream site on inflow stream to Falling Creek Reservoir (37.311678,-79.827357)"
Site	1	"Outflow site at spillway of Falling Creek Reservoir (37.30247,-79.83692)"
Method	F	Flowmeter
Method	S	Salt injection
Method	V	Velocity float
Flag_Flow	0	data not suspect
Flag_Flow	3	"Value suspect, conditions not well captured by flowmeter method"
Flag_Flow	5	"Value suspect, conditions not well captured by velocity float method"
